151340945,Male,Below 1 hour,Maybe,Yes,Normal,Yes,Yes,True,A,8,Yes,Maybe,Yes,Maybe,Yes,No
151340931,Male,Below 1 hour,No,No,Low,Yes,Yes,False,A,6,Yes,No,No,Yes,No,Maybe
151340926,Male,2019-05-02 00:00:00,Yes,Maybe,Normal,Yes,Yes,True,A,6,Yes,Yes,Yes,Yes,No,Yes
151340944,Male,Below 1 hour,Yes,Yes,Normal,Yes,Yes,True,A,8,No,Yes,Yes,Yes,No,No
151340942,Female,Below 1 hour,Maybe,Yes,Normal,Yes,Yes,True,A,5 hours,Yes,No,No,No,Yes,Yes
151340932,Male,2019-05-02 00:00:00,Yes,No,Normal,No,Yes,True,B,8,No,No,Yes,Yes,No,No
151340933,Male,2019-05-02 00:00:00,Yes,Maybe,Normal,No,Yes,True,A,8,No,Maybe,Maybe,Yes,No,No
151340923,Male,2019-05-02 00:00:00,Yes,Yes,Normal,Maybe,Yes,True,A,12,Yes,Maybe,Maybe,Yes,Maybe,Yes
151340935,Male,2019-05-02 00:00:00,Yes,Yes,Normal,Yes,Yes,True,A,2,No,Yes,No,No,Yes,No
151340943,Male,2019-05-02 00:00:00,No,Yes,Normal,No,Yes,True,A,8hour,No,Yes,Yes,Yes,No,No
151340947,Female,2019-05-02 00:00:00,Yes,No,Low,Yes,No,True,B,10 hr,No,Yes,Yes,Yes,Maybe,Maybe
151340937,Female,2019-05-02 00:00:00,Maybe,No,Normal,Yes,No,True,B,8,No,Maybe,Yes,Yes,No,No
151340939,Female,2019-05-02 00:00:00,Maybe,Maybe,High,Yes,Maybe,False,A,7,Maybe,Yes,Yes,Yes,No,No
141340900,Male,Above 5 hour,No,No,Normal,Yes,No,False,A,0hr,Yes,Yes,Yes,Yes,No,No
151341039,Male,2019-05-02 00:00:00,Yes,No,Normal,Yes,Yes,False,B,5,No,Maybe,Yes,Yes,No,No
151341020,Male,2019-05-02 00:00:00,No,No,Low,Yes,Yes,True,B,2,Maybe,Yes,Maybe,Yes,No,Yes
151341045,Male,2019-05-02 00:00:00,Yes,No,Normal,Yes,Yes,True,A,4,Yes,Yes,No,Yes,No,No
151341016,Male,Below 1 hour,Yes,Yes,Normal,Yes,Yes,True,A,5,Yes,Yes,Yes,Yes,Yes,Yes
121440946,Male,Below 1 hour,Yes,Maybe,Normal,Maybe,Maybe,True,A,12,Maybe,Yes,No,Yes,Yes,No
151341010,Male,2019-05-02 00:00:00,Yes,No,Normal,Maybe,Yes,True,B,6,No,No,Yes,Yes,Maybe,Maybe
151341040,Female,2019-05-02 00:00:00,Yes,Yes,Low,Yes,No,True,A,5,Yes,No,Yes,No,No,No
151341043,Male,2019-05-02 00:00:00,Maybe,No,Normal,Maybe,Maybe,True,A,6 Hours,Maybe,Maybe,Maybe,Maybe,No,No
131440910,Female,2019-05-02 00:00:00,No,Yes,Normal,Yes,Maybe,True,A,4,Maybe,Maybe,Yes,Maybe,No,No
151341036,Female,2019-05-02 00:00:00,No,No,Low,Yes,Yes,False,A,8,No,No,No,Yes,Maybe,No
141440962,Male,2019-05-02 00:00:00,Yes,No,Normal,No,Yes,True,B,2 hours,Yes,No,Yes,Yes,Yes,Maybe
